# This file contains a set of game items that can be synthesized.;;;;;;
# You must set 64 different items.;;;;;;
# ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;;;;;;
# Comment;Id;Shops;Price;Result;Item1;Item2
#;Int32;Byte;Byte;Byte;Byte;Byte
# ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------;;;;;;
Butterfly Sword;0;79;300;7;1;2
The Ogre;1;95;700;8;2;2
Exploda;2;92;1000;9;2;3
Rune Tooth;3;88;2000;10;3;3
Angel Bless;4;112;9000;11;3;4
Sargatanas;5;96;12000;12;4;5
Masamune;6;64;16000;13;5;6
Duel Claws;7;64;16000;49;45;46
Priest’s Racket;8;64;11000;55;51;218
Bracer;9;64;24000;101;197;107
Gauntlets;10;64;8000;111;104;99
Golden Skullcap;11;64;15000;134;141;128
Circlet;12;64;20000;135;129;204
Grand Helm;13;64;20000;147;142;200
Rubber Suit;14;64;20000;166;163;95
Brave Suit;15;64;26000;167;154;58
Cotton Robe;16;63;1000;168;88;115
Silk Robe;17;60;2000;169;150;118
Magician Robe;18;48;3000;170;70;156
Glutton’s Robe;19;32;6000;171;81;168
White Robe;20;32;8000;172;161;97
Black Robe;21;32;8000;173;161;96
Light Robe;22;64;20000;174;170;90
Robe of Lords;23;128;30000;175;172;173
Tin Armour;24;128;50000;176;0;254
Grand Armour;25;64;45000;191;18;180
Desert Boots;26;95;300;192;112;149
Yellow Scarf;27;95;400;212;114;115
Glass Buckle;28;95;500;202;90;89
Germinas Boots;29;94;900;194;192;79
Cachusha;30;62;1000;218;117;136
Coral Ring;31;62;1200;206;73;57
Gold Choker;32;94;1300;213;178;242
Magician Shoes;33;60;1500;193;194;91
Barette;34;60;1800;219;80;139
Power Belt;35;60;2000;200;202;179
Madain’s Ring;36;56;3000;203;91;59
Fairy Earrings;37;56;3200;214;93;242
Extension;38;56;3500;220;120;52
Reflect Ring;39;56;7000;205;199;203
Anklet;40;48;4000;199;213;231
Feather Boots;41;48;4000;196;193;249
Black Belt;42;48;4000;201;122;157
Pearl Rouge;43;48;5000;216;229;239
Promist Ring;44;32;6000;207;94;230
Battle Boots;45;32;6500;197;196;87
Rebirth Ring;46;32;7000;208;227;199
Angel Earrings;47;32;8000;215;214;219
Running Shoes;48;64;12000;198;197;228
Rosetta Ring;49;64;24000;204;203;38
Protect Ring;50;128;40000;209;250;208
Pumice;51;128;50000;211;210;210
Garnet;52;224;350;224;254;247
Amethyst;53;224;200;225;254;248
Peridot;54;224;100;231;254;242
Sapphire;55;224;200;232;254;243
Opal;56;224;100;233;254;236
Topaz;57;224;100;234;254;244
Lapis Lazuli;58;192;400;235;254;252
Pumice Piece;59;128;25000;210;0;211
Save the Queen;60;128;50000;26;31;103
Phoenix Pinion;61;128;300;249;240;251
Ether;62;128;500;238;241;246
Thief Gloves;63;32;50000;98;92;12
